slNo.,pclass,sex,age,sibsp,parch,survived
652,3,1,35.0,0,0,0
653,3,1,28.0,0,0,0
654,2,1,18.0,0,0,0
655,1,1,50.0,1,0,0
656,3,1,25.0,0,0,0
657,2,1,25.0,1,2,0
658,1,1,29.519847189349115,0,0,1
659,3,1,20.0,0,0,0
660,3,1,35.0,0,0,0
661,1,0,44.0,0,1,1
662,1,1,29.519847189349115,0,0,0
663,3,1,29.519847189349115,0,0,0
664,3,1,29.0,1,0,0
665,1,0,36.0,0,0,1
666,3,1,29.519847189349115,0,0,0
667,2,1,8.0,0,2,1
668,3,0,29.0,0,0,0
669,3,1,9.0,0,1,1
670,3,1,24.0,0,0,0
671,2,0,5.0,1,2,1
672,3,1,32.0,0,0,1
673,2,1,0.8333,0,2,1
674,3,1,36.0,0,0,0
675,1,0,23.0,1,0,1
676,3,1,21.0,0,0,1
677,3,0,9.0,1,1,0
678,3,1,26.0,1,0,0
679,3,1,39.0,1,5,0
680,3,0,29.519847189349115,0,0,1
681,3,1,35.0,0,0,0
682,2,0,28.0,0,0,1
683,1,1,25.0,1,0,1
684,2,1,29.0,0,0,0
685,1,1,43.0,1,0,1
686,3,1,29.519847189349115,2,0,0
687,3,1,24.0,1,0,0
688,3,1,29.519847189349115,0,0,1
689,3,1,36.0,0,0,0
690,3,1,29.519847189349115,0,0,1
691,3,0,18.0,0,0,0
692,3,1,29.0,0,0,1
693,1,1,57.0,1,1,0
694,3,1,40.0,1,1,0
695,3,1,27.0,0,0,0
696,3,1,32.0,0,0,1
697,3,1,33.0,0,0,0
698,2,1,50.0,0,0,0
699,3,1,42.0,0,1,0
700,1,1,55.0,0,0,0
701,3,0,28.0,0,0,0
702,1,1,28.0,1,0,0
703,2,1,29.519847189349115,0,0,0
704,3,0,36.0,1,0,1
705,1,1,28.0,0,0,1
706,3,0,29.519847189349115,1,2,0
707,1,0,31.0,1,0,1
708,3,1,32.0,0,0,1
709,3,0,30.0,0,0,0
710,1,0,35.0,0,0,1
711,2,0,20.0,1,0,1
712,3,0,31.0,0,0,0
713,2,0,29.0,1,0,1
714,1,0,60.0,1,4,1
715,3,0,22.0,1,1,1
716,2,1,27.0,0,0,0
717,3,0,29.519847189349115,0,0,1
718,3,0,18.0,0,0,1
719,1,0,50.0,1,1,1
720,3,1,29.519847189349115,8,2,0
721,3,1,29.519847189349115,0,0,0
722,3,0,18.0,0,0,1
723,3,1,29.0,0,0,0
724,3,1,19.0,0,0,0
725,3,0,21.0,0,0,1
726,3,1,44.0,0,0,1
727,2,0,22.0,1,2,1
728,3,1,26.0,0,0,1
729,3,1,32.0,0,0,1
730,3,1,29.519847189349115,0,0,0
731,1,1,48.0,0,0,0
732,1,1,23.0,0,0,0
733,3,1,74.0,0,0,0
734,3,0,29.519847189349115,0,0,1
735,3,1,21.0,0,0,0
736,3,1,29.519847189349115,0,0,0
737,3,1,29.519847189349115,0,0,0
738,3,1,25.0,0,0,0
739,3,1,19.0,0,0,0
740,1,1,29.0,1,0,0
741,3,1,29.519847189349115,0,0,0
742,3,0,29.519847189349115,0,2,0
743,2,0,32.5,0,0,1
744,3,1,29.519847189349115,0,0,0
745,1,0,29.519847189349115,0,0,1
746,1,0,51.0,0,1,1
747,1,0,39.0,1,0,1
748,2,1,29.519847189349115,0,0,0
749,2,1,29.0,1,0,0
750,3,1,32.0,0,0,0
751,1,0,32.0,0,0,1
752,1,0,18.0,1,0,1
753,1,1,25.0,1,0,1
754,1,1,50.0,1,0,0
755,3,1,35.0,0,0,0
756,1,0,59.0,2,0,1
757,3,1,7.0,4,1,0
758,1,1,31.0,1,0,1
759,1,1,0.9167,1,2,1
760,3,1,18.0,2,2,0
761,3,0,30.0,0,0,0
762,1,0,35.0,1,0,1
763,3,1,29.519847189349115,0,0,0
764,2,1,59.0,0,0,0
765,3,1,19.0,0,0,0
766,1,0,29.0,0,0,1
767,3,0,19.0,1,1,1
768,3,1,21.0,0,0,0
769,3,1,36.0,0,0,0
770,1,0,26.0,0,0,1
771,2,0,30.0,0,0,1
772,1,1,27.0,1,0,1
773,3,1,17.0,0,0,0
774,3,1,50.0,0,0,0
775,1,0,36.0,0,2,1
776,3,1,30.0,0,0,0
777,1,0,51.0,1,0,1
778,1,0,29.519847189349115,1,0,1
779,1,0,55.0,0,0,1
780,3,1,29.519847189349115,0,0,0
781,2,0,12.0,0,0,1
782,1,1,55.0,1,1,0
783,3,0,19.0,1,0,0
784,1,1,55.0,1,0,0
785,3,0,18.0,0,0,1
786,2,0,40.0,0,0,1
787,3,1,29.519847189349115,0,0,0
788,1,0,24.0,0,0,1
789,3,0,16.0,5,2,0
790,1,1,35.0,0,0,1
791,2,1,21.0,2,0,0
792,1,0,60.0,1,0,1
793,1,0,53.0,2,0,1
794,3,0,29.519847189349115,0,0,1
795,3,0,30.0,0,0,1
796,1,1,36.0,0,1,1
797,2,0,23.0,0,0,1
798,3,1,1.0,4,1,0
799,3,1,32.0,0,0,1
800,3,1,25.0,0,0,1
801,2,1,47.0,0,0,0
802,3,1,51.0,0,0,0
803,3,1,34.0,1,1,0
804,1,1,50.0,1,1,0
805,3,1,4.0,3,2,0
806,3,1,19.0,0,0,0
807,1,1,35.0,0,0,1
808,2,1,34.0,1,0,0
809,3,1,40.0,1,4,0
810,2,1,32.0,0,0,0
811,2,0,31.0,0,0,1
812,3,1,18.0,0,0,0
813,3,1,9.0,0,2,1
814,3,0,29.519847189349115,0,0,0
815,1,1,46.0,0,0,0
816,3,1,26.5,0,0,0
817,1,1,31.0,0,0,0
818,2,1,18.0,0,0,0
819,2,1,41.0,0,0,0
820,3,1,29.519847189349115,0,0,0
821,3,0,29.519847189349115,0,2,1
822,3,1,21.0,2,0,0
823,3,1,11.0,0,0,0
824,3,0,24.0,0,2,1
825,3,1,21.0,0,0,1
826,1,0,48.0,1,3,1
827,3,1,31.0,0,0,0
